s239.align.1.msl 12 12 0
s240.align.1.msl 18 18 0
s241.align.1.msl 12 12 0
s242.align.1.msl 12 10 -2
s243.align.1.msl 16 14 -2
s244.align.1.msl 12 12 0
s245.align.1.msl 10 10 0
s246.align.1.msl 12 12 0
s247.align.1.msl 16 10 -6
s248.align.1.msl 12 12 0
s249.align.1.msl 14 14 0
s250.align.1.msl 10 10 0
s251.align.1.msl 14 12 -2
s252.align.1.msl 10 10 0
s253.align.1.msl 12 10 -2
s254.align.1.msl 12 12 0
s255.align.1.msl 18 10 -8
s256.align.1.msl 12 12 0
s257.align.1.msl 8 8 0
s258.align.1.msl 10 12 2
s259.align.1.msl 14 12 -2
s260.align.1.msl 12 10 -2
s261.align.1.msl 10 10 0
s262.align.1.msl 14 14 0
s263.align.1.msl 14 8 -6
s264.align.1.msl 12 10 -2
s265.align.1.msl 14 12 -2
s266.align.1.msl 10 10 0
s267.align.1.msl 6 6 0
s268.align.1.msl 12 12 0
s269.align.1.msl 4 6 2
s270.align.1.msl 12 10 -2
s271.align.1.msl 16 16 0
s272.align.1.msl 8 12 4
s273.align.1.msl 10 12 2
s274.align.1.msl 18 18 0
s275.align.1.msl 8 14 6
s276.align.1.msl 8 8 0
s277.align.1.msl 12 12 0
s278.align.1.msl 18 18 0
s279.align.1.msl 18 12 -6
s280.align.1.msl 16 14 -2
s281.align.1.msl 10 12 2
s282.align.1.msl 12 14 2
s283.align.1.msl 20 20 0
s284.align.1.msl 10 10 0
s285.align.1.msl 12 10 -2
s286.align.1.msl 10 8 -2
s287.align.1.msl 12 12 0
s288.align.1.msl 12 10 -2
s289.align.1.msl 20 18 -2
s290.align.1.msl 12 12 0
s291.align.1.msl 14 16 2
s292.align.1.msl 14 14 0
s293.align.1.msl 10 10 0
s294.align.1.msl 16 14 -2
s295.align.1.msl 18 18 0
s296.align.1.msl 10 12 2
s297.align.1.msl 12 12 0
s298.align.1.msl 14 12 -2
s299.align.1.msl 18 18 0
s300.align.1.msl 12 10 -2
